id_number	plant_id	maternal_plant	population	block	continent	latitude	longitude	ft_start_date	final_height	total_branches	male_fitness_estimate	female_fitness_estimate
218	GE218	3HS	HS	1	Eur	48.18515189	20.92252985	NA	NA	NA	NA	NA
219	GE219	17PV	PV	1	Eur	49.8798343	19.89245121	NA	NA	NA	NA	NA
220	GE220	7SB	SB	1	Eur	49.13566482	21.55096851	NA	NA	NA	NA	NA
221	GE221	8PA	PA	1	Nam	39.930872	-75.583156	NA	NA	NA	NA	NA
222	GE222	9PE	PE	1	Eur	51.35332297	19.60609006	48	80.2	3	201	NA
223	GE223	3SB	SB	1	Eur	49.13566482	21.55096851	NA	NA	NA	NA	NA
224	GE224	56HR	HR	1	Eur	47.13845	19.47464	38	72.4	14	291.2	17.17108725
225	GE225	11WV	WV	1	Nam	39.6584	-79.90525	NA	NA	NA	NA	NA
226	GE226	13PT	PT	1	Nam	40.07056	-75.436571	NA	NA	NA	NA	NA
227	GE227	6SH	SH	1	Eur	48.21292953	18.93131109	48	62.2	14	135	NA
228	GE228	1317CB	CB	1	Nam	43.63519	-79.34576	NA	NA	NA	NA	NA
229	GE229	19PE	PE	1	Eur	51.35332297	19.60609006	NA	NA	NA	NA	NA
230	GE230	4MI	MI	1	Nam	44.37683	-79.74113	52	NA	NA	NA	NA
231	GE231	3PT	PT	1	Nam	40.07056	-75.436571	77	55.8	12	192	8.423707393
232	GE232	9SU	SU	1	Nam	41.45751046	-77.13565654	NA	NA	NA	NA	NA
233	GE233	88WV	WV	1	Nam	39.6584	-79.90525	63	83	12	228	19.48595012
234	GE234	1MF	MF	1	Nam	38.40708263	-75.56824697	NA	NA	NA	NA	NA
235	GE235	8HC	HC	1	Eur	47.962356	20.894481	NA	NA	NA	NA	NA
236	GE236	4HL	HL	1	Nam	38.92013797	-75.44832488	70	40.4	NA	NA	NA
237	GE237	83PS	PS	1	Nam	45.3347	-79.956231	NA	NA	NA	NA	NA
238	GE238	5BP	BP	1	Nam	39.64569554	-75.71813984	NA	NA	NA	NA	NA
239	GE239	1BP	BP	1	Nam	39.64569554	-75.71813984	NA	NA	NA	NA	NA
240	GE240	9HS	HS	1	Eur	48.18515189	20.92252985	NA	NA	NA	NA	NA
241	GE241	8HS	HS	1	Eur	48.18515189	20.92252985	NA	NA	NA	NA	NA
242	GE242	49HR	HR	1	Eur	47.13845	19.47464	54	86	14	186	17.4004688
243	GE243	10HB	HB	1	Eur	47.8226962	19.089972	NA	NA	NA	NA	NA
244	GE244	15VN	VN	1	Nam	37.92026101	-75.47660198	81	48.2	23	699.2	20.29213836
245	GE245	3BP	BP	1	Nam	39.64569554	-75.71813984	NA	NA	NA	NA	NA
246	GE246	61MI	MI	1	Nam	44.37683	-79.74113	NA	NA	NA	NA	NA
247	GE247	1PR	PR	1	Nam	40.65946579	-76.91820217	NA	NA	NA	NA	NA
248	GE248	8PO	PO	1	Eur	50.22392429	19.17026453	46	76.8	14	268	17.71158067
249	GE249	2MF	MF	1	Nam	38.40708263	-75.56824697	NA	NA	NA	NA	NA
250	GE250	66IN	IN	1	Nam	42.44996	-76.46113	NA	NA	NA	NA	NA
251	GE251	10HS	HS	1	Eur	48.18515189	20.92252985	NA	NA	NA	NA	NA
252	GE252	36PG	PG	1	Eur	43.9475	4.536631	NA	NA	NA	NA	NA
253	GE253	19HK	HK	1	Eur	46.89164819	19.65085249	40	62.4	13	169	9.078593224
254	GE254	8HM	HM	1	Eur	47.62666192	19.44151603	NA	NA	NA	NA	NA
255	GE255	12SH	SH	1	Eur	48.21292953	18.93131109	50	70.4	13	128	NA
256	GE256	40LH	LH	1	Eur	45.66117	4.966539	NA	NA	NA	NA	NA
257	GE257	4SU	SU	1	Nam	41.45751046	-77.13565654	52	62.4	13	159.25	8.659015601
258	GE258	12PV	PV	1	Eur	49.8798343	19.89245121	38	50	11	132	4.476827654
259	GE259	143IN	IN	1	Nam	42.44996	-76.46113	NA	NA	NA	NA	NA
260	GE260	46WC	WC	1	Nam	44.003197	-79.393311	NA	NA	NA	NA	NA
261	GE261	119MI	MI	1	Nam	44.37683	-79.74113	50	38.2	7	116.9	2.354645894
262	GE262	2SU	SU	1	Nam	41.45751046	-77.13565654	50	85	21	672	33.31950008
263	GE263	17DF	DF	1	Nam	39.32390625	-75.62242479	NA	NA	NA	NA	NA
264	GE264	17PA	PA	1	Nam	39.930872	-75.583156	70	83	17	468.7142857	NA
265	GE265	14PO	PO	1	Eur	50.22392429	19.17026453	60	91.2	13	572	36.4937582
266	GE266	4PR	PR	1	Nam	40.65946579	-76.91820217	NA	NA	NA	NA	NA
267	GE267	6SL	SL	1	Eur	49.222985	19.302752	NA	NA	NA	NA	NA
268	GE268	11HK	HK	1	Eur	46.89164819	19.65085249	71	61.4	18	162	5.10936014
269	GE269	1HM	HM	1	Eur	47.62666192	19.44151603	NA	NA	NA	NA	NA
270	GE270	159IN	IN	1	Nam	42.44996	-76.46113	NA	NA	NA	NA	NA
271	GE271	10HL	HL	1	Nam	38.92013797	-75.44832488	NA	NA	NA	NA	NA
272	GE272	8DF	DF	1	Nam	39.32390625	-75.62242479	NA	NA	NA	NA	NA
273	GE273	11DH	DH	1	Nam	38.68109706	-75.07450333	NA	NA	NA	NA	NA
274	GE274	12PS	PS	1	Nam	45.3347	-79.956231	36	52	20	453	13.01724453
275	GE275	6HR	HR	1	Eur	47.13845	19.47464	40	49.8	8	216	10.01265388
276	GE276	5DS	DS	1	Nam	38.64183334	-75.445	87	134.2	18	298	36.42328319
277	GE277	39FL	FL	1	Nam	44.750014	-79.704694	NA	NA	NA	NA	NA
278	GE278	98IN	IN	1	Nam	42.44996	-76.46113	NA	NA	NA	NA	NA
279	GE279	2HM	HM	1	Eur	47.62666192	19.44151603	NA	NA	NA	NA	NA
280	GE280	5PV	PV	1	Eur	49.8798343	19.89245121	50	62.4	10	226.5	13.54397776
281	GE281	57HR	HR	1	Eur	47.13845	19.47464	44	46	12	156	3.447007863
282	GE282	10SU	SU	1	Nam	41.45751046	-77.13565654	NA	NA	NA	NA	NA
283	GE283	20PS	PS	1	Nam	45.3347	-79.956231	34	55	17	445.4	15.73037314
284	GE284	20PT	PT	1	Nam	40.07056	-75.436571	NA	NA	NA	NA	NA
285	GE285	11VN	VN	1	Nam	37.92026101	-75.47660198	NA	NA	NA	NA	NA
286	GE286	11HL	HL	1	Nam	38.92013797	-75.44832488	NA	65.8	NA	NA	NA
287	GE287	1336CB	CB	1	Nam	43.63519	-79.34576	58	71.6	14	406	21.83154971
288	GE288	15PV	PV	1	Eur	49.8798343	19.89245121	NA	NA	NA	NA	NA
289	GE289	8HB	HB	1	Eur	47.8226962	19.089972	NA	NA	NA	NA	NA
290	GE290	3HJ	HJ	1	Eur	47.70273145	20.07493272	NA	NA	NA	NA	NA
291	GE291	80PG	PG	1	Eur	43.9475	4.536631	NA	NA	NA	NA	NA
292	GE292	5SU	SU	1	Nam	41.45751046	-77.13565654	NA	NA	NA	NA	NA
293	GE293	5PA	PA	1	Nam	39.930872	-75.583156	87	84.2	8	96	NA
294	GE294	4HJ	HJ	1	Eur	47.70273145	20.07493272	NA	NA	NA	NA	NA
